City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Skibbereen,51.55,-9.2667,55.4,76,75,5.75,IE,1616169220
Omsukchan,62.5333,155.8,-23.01,99,100,4.32,RU,1616169220
Nîmes,43.8333,4.35,44.6,70,90,11.5,FR,1616169221
Tuktoyaktuk,69.4541,-133.0374,-18.4,76,40,9.22,CA,1616169221
Cayenne,4.9333,-52.3333,86.0,62,75,11.5,GF,1616169222
Sørland,67.667,12.6934,44.6,70,90,20.71,NO,1616169223
Mar,43.4002,-4.0094,51.01,93,75,13.8,ES,1616169223
Kangaatsiaq,68.3065,-53.4641,18.12,73,100,11.05,GL,1616169224
Kahului,20.8947,-156.47,71.6,68,1,13.53,US,1616169002
Cape,-36.413,-71.9028,64.4,63,75,3.44,CL,1616169224
Souillac,-20.5167,57.5167,78.8,83,20,5.75,MU,1616169225
Dikson,73.5069,80.5464,-32.15,94,0,5.03,RU,1616169226
Khatanga,71.9667,102.5,-31.58,97,100,4.18,RU,1616169226
Albany,42.6001,-73.9662,32.0,27,1,4.0,US,1616169227
Tortolì,39.9256,9.6572,50.0,87,40,11.5,IT,1616169227
Yellowknife,62.456,-114.3525,15.8,73,75,11.5,CA,1616169048
Provideniya,64.3833,-173.3,-11.45,96,28,12.68,RU,1616169228
Port,-7.0349,29.7638,77.38,69,89,1.9,CD,1616169229
Nouadhibou,20.931,-17.0347,71.6,60,0,18.41,MR,1616169229
Lebu,-37.6167,-73.65,59.41,75,20,9.91,CL,1616169182
Tasiilaq,65.6145,-37.6368,30.2,74,20,10.36,GL,1616169176
Asău,46.4333,26.4,33.01,67,100,3.56,RO,1616169230
Naze,28.3667,129.4833,66.22,88,27,6.15,JP,1616169147
Acapulco de Juárez,16.8634,-99.8901,80.6,65,1,3.44,MX,1616169231
Burē,10.7,37.0667,69.89,44,75,2.55,ET,1616169232
Gizo Government Station,-8.103,156.8419,82.29,73,87,5.57,SB,1616169232
Naica,27.85,-105.4833,60.64,22,0,7.36,MX,1616169233
Kindu,-2.95,25.95,82.13,67,79,1.61,CD,1616169233
Camaná,-16.6228,-72.7111,75.11,68,66,8.28,PE,1616169234
Avarua,-21.2078,-159.775,77.0,88,75,4.61,CK,1616169234
Znamenskoye,57.1281,73.8282,24.82,82,100,11.18,RU,1616169235
Crişan,44.9667,29.4667,43.0,65,20,8.05,RO,1616169236
Rohri,27.6922,68.8951,80.6,61,3,5.28,PK,1616169236
Kruisfontein,-34.0033,24.7314,64.99,91,100,4.0,ZA,1616169237
Jarocin,51.9727,17.5026,35.01,97,100,15.01,PL,1616169237
Jamestown,42.097,-79.2353,35.01,46,1,14.83,US,1616169048
Biak,-0.9131,122.8766,78.04,76,93,2.71,ID,1616169238
Castro,-24.7911,-50.0119,74.05,75,54,8.05,BR,1616169239
Severo-Kuril'sk,50.6789,156.125,27.57,89,100,15.57,RU,1616169186
Yulara,-25.2406,130.9889,77.0,31,100,8.05,AU,1616169240
Samarai,-10.6167,150.6667,82.22,76,4,5.48,PG,1616169240
Galle,6.0367,80.217,79.48,77,100,4.12,LK,1616169058
Tambovka,50.0969,128.0489,17.6,67,0,2.24,RU,1616169241
Hithadhoo,-0.6,73.0833,82.53,73,100,11.81,MV,1616169241
Hambantota,6.1241,81.1185,75.2,100,40,4.54,LK,1616169242
Bengkulu,-3.8004,102.2655,77.11,88,100,4.18,ID,1616169243
Port,-7.0349,29.7638,77.38,69,89,1.9,CD,1616169243
Bānda,25.4833,80.3333,84.2,28,100,17.52,IN,1616169244
Butaritari,3.0707,172.7902,80.85,79,100,10.6,KI,1616169244
Mataura,-46.1927,168.8643,55.0,83,92,4.0,NZ,1616169245
Upernavik,72.7868,-56.1549,7.63,83,100,2.39,GL,1616169246
Clyde,41.3042,-82.9752,35.01,62,0,1.99,US,1616169247
Touros,-5.1989,-35.4608,86.0,66,40,17.27,BR,1616169247
Faya,18.3851,42.4509,69.8,60,20,10.36,SA,1616169241
Waipawa,-41.4122,175.5153,53.6,76,0,4.61,NZ,1616169248
Vaini,-21.2,-175.2,75.2,94,40,4.61,TO,1616169249
Hilo,19.7297,-155.09,66.2,82,75,4.61,US,1616169793
Pisco,-13.7,-76.2167,73.99,78,0,8.05,PE,1616169250
Beringovskiy,63.05,179.3167,-7.65,99,100,12.77,RU,1616169250
Basco,20.4487,121.9702,76.06,85,66,15.01,PH,1616169251
Luau,-10.7073,22.2247,74.66,83,82,3.36,AO,1616169251
Iqaluit,63.7506,-68.5145,-14.01,64,20,20.71,CA,1616169062
Kondinskoye,59.6481,67.41,23.2,97,100,3.56,RU,1616169252
Qaanaaq,77.484,-69.3632,-7.62,74,99,3.53,GL,1616169253
Grand,38.8755,-109.5012,46.4,46,1,10.36,US,1616169253
Saryg-Sep,51.5,95.6,7.48,92,1,2.44,RU,1616169254
Saskylakh,71.9167,114.0833,-31.49,97,0,4.81,RU,1616169255
Hong Kong,22.2855,114.1577,75.0,86,3,1.99,HK,1616169095
Narsaq,60.9167,-46.05,28.4,50,75,4.61,GL,1616169255
Xining,36.6167,101.7667,26.87,77,95,6.62,CN,1616169256
Valavanur,11.9209,79.5824,75.09,78,1,6.17,IN,1616169256
Killarney,52.05,-9.5167,57.36,73,8,5.84,IE,1616169257
Saldanha,-33.0117,17.9442,73.4,46,30,19.57,ZA,1616169257
Osoyoos,49.0331,-119.4524,41.0,87,69,4.61,CA,1616169258
Torbay,47.6666,-52.7314,42.01,93,90,32.21,CA,1616169259
Luena,-11.7833,19.9167,72.3,84,81,3.69,AO,1616169259
Fortuna,40.5982,-124.1573,46.99,93,1,6.91,US,1616169249
New,6.6518,-10.5932,89.6,66,20,12.66,LR,1616169136
Vostok,46.4856,135.8833,14.88,95,66,3.42,RU,1616169243
Barsovo,61.1667,73.1667,26.6,86,0,2.24,RU,1616169261
Yangi Marg`ilon,40.4272,71.7189,55.4,41,87,6.91,UZ,1616169261
Nikolskoye,59.7035,30.7861,23.0,54,75,8.95,RU,1616169262
El Puerto de Santa María,36.5939,-6.233,66.2,34,0,10.36,ES,1616169262
Lorengau,-2.0226,147.2712,80.69,75,23,2.46,PG,1616169263
Kalabo,-14.97,22.6814,74.23,80,99,5.39,ZM,1616169264
Ushtobe,45.2514,77.9838,32.81,74,0,10.02,KZ,1616169264
Inari,68.906,27.0288,23.0,63,100,24.16,FI,1616169265
Bredasdorp,-34.5322,20.0403,69.8,49,100,9.22,ZA,1616169266
Praia,14.9215,-23.5087,80.6,50,0,20.71,CV,1616169266
Norman,35.2226,-97.4395,50.0,66,1,12.66,US,1616169124
Hobart,-42.8794,147.3294,57.99,87,2,8.05,AU,1616169267
Kloulklubed,7.0419,134.2556,77.0,94,75,13.06,PW,1616169267
Busselton,-33.65,115.3333,64.99,78,86,7.56,AU,1616169268
Buraidah,26.326,43.975,84.2,30,0,12.66,SA,1616169269
Campbellsville,37.3434,-85.3419,42.01,60,75,12.66,US,1616169269
Cabo,-8.2833,-35.0333,84.2,58,40,12.66,BR,1616169269
Saint Paul Harbor,57.79,-152.4072,15.8,53,1,4.61,US,1616169270
Pauini,-7.7136,-66.9764,84.0,82,73,2.08,BR,1616169271
Ancud,-41.8697,-73.8203,61.0,76,75,4.61,CL,1616169271
Qaqortoq,60.7167,-46.0333,28.4,50,75,4.61,GL,1616169272
Aitape,-3.1374,142.3475,78.03,83,92,4.32,PG,1616169272
San,13.3034,-4.8956,102.25,7,25,4.47,ML,1616169273
Paphos,34.7667,32.4167,60.8,51,20,9.22,CY,1616169274
Blackwater,-23.5833,148.8833,71.8,91,90,5.41,AU,1616169274
College,64.8569,-147.8028,0.0,77,75,1.86,US,1616169147
Shalinskoye,55.7228,93.7594,17.89,78,86,12.41,RU,1616169275
Tsaratanana,-16.7833,47.65,76.14,88,100,4.45,MG,1616169275
Ekimchan,53.0667,132.9667,5.09,92,65,1.39,RU,1616169275
Winnemucca,40.973,-117.7357,44.6,70,90,1.48,US,1616169276
Mayahi,13.9553,7.6712,102.49,7,0,3.51,NE,1616169276
Santa,17.486,120.4348,79.03,82,99,4.32,PH,1616169277
Areosa,41.7178,-8.8571,62.6,59,0,16.11,PT,1616169277
Mahabalipuram,12.6264,80.1722,80.6,74,20,8.08,IN,1616169278
Lerwick,60.1545,-1.1494,46.4,93,75,11.5,GB,1616169279
Zyryanka,65.75,150.85,-22.09,92,0,8.93,RU,1616169279
Saint-Philippe,-21.3585,55.7679,78.8,83,90,11.5,RE,1616169280
Aykhal,66.0,111.5,-14.44,94,91,7.81,RU,1616169280
Meulaboh,4.1363,96.1285,78.21,86,99,4.18,ID,1616169281
Husavik,66.0449,-17.3389,50.0,66,40,23.02,IS,1616169282
Praia,14.9215,-23.5087,80.6,50,0,20.71,CV,1616169266
Chui,-33.6971,-53.4616,71.38,53,0,6.31,UY,1616169282
Mielec,50.2871,21.4239,35.01,86,75,12.66,PL,1616169283
Hofn,64.2539,-15.2082,46.4,93,90,19.57,IS,1616169284
Livingston,55.9029,-3.5226,53.6,66,20,5.75,GB,1616169284
Constitución,-35.3333,-72.4167,61.61,56,76,6.96,CL,1616169139
Preobrazheniye,42.9019,133.9064,34.07,68,32,2.91,RU,1616169285
Sola,-13.8833,167.55,82.2,75,97,11.41,VU,1616169164
Belaya,49.029,25.7706,37.99,54,100,3.18,UA,1616169286
Sibolga,1.7427,98.7792,78.37,88,100,2.98,ID,1616169287
Laas,46.6166,10.7002,51.8,44,75,6.91,IT,1616169149
Longyearbyen,78.2186,15.6401,30.2,80,40,9.22,SJ,1616169119
Kambove,-10.8764,26.5969,68.4,91,92,2.24,CD,1616169288
Kutum,14.2,24.6667,89.96,10,40,14.43,SD,1616169289
Marrakesh,31.6315,-8.0083,68.0,37,75,9.22,MA,1616169289
Kattivākkam,13.2167,80.3167,80.6,74,20,6.69,IN,1616169290
Lüderitz,-26.6481,15.1594,69.8,62,68,23.29,NA,1616169291
Baruun-Urt,46.6806,113.2792,22.89,91,100,16.46,MN,1616169291
Tura,25.5198,90.2201,74.43,24,25,3.29,IN,1616169292
Khovd,48.0056,91.6419,20.57,45,0,4.85,MN,1616169061
Ulaanbaatar,47.9077,106.8832,14.0,57,40,8.95,MN,1616169011
Shingū,33.7333,135.9833,51.94,77,82,5.17,JP,1616169293
Hokitika,-42.7167,170.9667,57.09,84,81,3.15,NZ,1616169294
Cambuci,-21.5753,-41.9111,87.8,55,20,11.5,BR,1616169286
Muros,42.7762,-9.0603,57.0,66,44,13.94,ES,1616169294
Ostrovnoy,68.0531,39.5131,11.07,87,49,18.72,RU,1616169295
Cockburn,-32.0833,141.0,71.6,60,43,11.5,AU,1616169295
Olafsvik,64.8945,-23.7142,40.59,95,100,15.3,IS,1616169296
Saltillo,25.4167,-101.0,53.6,50,1,6.91,MX,1616169064
Vila,42.0304,-8.1588,51.01,72,98,14.0,PT,1616169297
Kiunga,-6.1219,141.2906,72.14,92,82,1.21,PG,1616169297
Honāvar,14.2833,74.45,78.75,82,0,3.8,IN,1616169298
Coquimbo,-29.9533,-71.3436,64.4,59,75,11.5,CL,1616169092
Kapaa,22.0752,-159.319,69.8,78,90,19.57,US,1616169298
El Puerto de Santa María,36.5939,-6.233,66.2,34,0,10.36,ES,1616169262
Tiksi,71.6872,128.8694,-15.25,95,86,14.54,RU,1616169299
Tuatapere,-46.1333,167.6833,55.0,83,91,4.0,NZ,1616169115
Palora,-1.7,-77.9333,73.4,73,90,2.3,EC,1616169300
Honiara,-9.4333,159.95,77.85,85,77,2.91,SB,1616169300
Lancaster,40.2504,-76.2499,39.99,33,1,18.41,US,1616169301
Buala,-8.145,159.5921,78.91,83,92,2.59,SB,1616169302
Bracebridge,45.0334,-79.3163,26.6,31,1,5.75,CA,1616169302
Matagami,49.7502,-77.6328,23.0,50,1,11.5,CA,1616169304
Hamilton,39.1834,-84.5333,44.01,42,1,18.41,US,1616169228
Loikaw,19.6742,97.2094,74.64,35,0,3.11,MM,1616169305
Zhezkazgan,47.8043,67.7144,30.99,75,100,11.72,KZ,1616169305
Kharsāwān,22.8,85.8333,78.19,21,15,0.78,IN,1616169306
Roald,62.5833,6.1333,46.99,76,75,18.41,NO,1616169306
Broome,42.2506,-75.833,30.99,46,1,20.71,US,1616169307
Valença,-13.3703,-39.0731,80.46,84,99,5.5,BR,1616169143
Lompoc,34.6391,-120.4579,55.99,87,75,8.05,US,1616169308
Thompson,55.7435,-97.8558,33.8,69,20,6.91,CA,1616169308
Nemuro,43.3236,145.575,28.26,75,3,13.8,JP,1616169309
Pacific,38.482,-90.7415,44.01,57,9,3.0,US,1616169309
Northam,51.0333,-4.2167,55.0,67,80,5.01,GB,1616169310
Karratha,-20.7377,116.8463,79.34,58,1,20.51,AU,1616169311
East,65.0,-15.0,51.8,62,0,12.66,IS,1616169311
Krasnosel'kup,65.7,82.4667,-11.61,97,16,10.78,RU,1616169312
Haines,59.2286,-135.4441,30.2,86,90,6.91,US,1616169313
Mehamn,71.0357,27.8492,32.0,86,40,47.18,NO,1616169313
Yenotayevka,47.2456,47.0281,39.0,84,100,1.01,RU,1616169314
Chara,56.9064,118.2631,8.87,70,100,2.89,RU,1616169314
Arraial,-22.8362,-46.646,82.4,57,40,5.75,BR,1616169315
Acarí,-15.4311,-74.6158,80.28,59,34,10.02,PE,1616169315
Oriximiná,-1.7656,-55.8661,83.39,69,99,1.97,BR,1616169316
El Puerto de Santa María,36.5939,-6.233,66.2,34,0,10.36,ES,1616169317
Rocha,-34.4833,-54.3333,71.69,47,0,6.51,UY,1616169317
Sao,20.5113,76.2129,79.5,36,36,10.74,IN,1616169318
Lambaréné,-0.7001,10.2406,91.4,62,75,4.65,GA,1616169318
Mitsamiouli,-11.3847,43.2844,83.53,72,96,2.66,KM,1616169319
Celestún,20.8667,-90.4,76.14,69,0,16.42,MX,1616169320
Bowen,-20.0167,148.2333,73.4,94,98,5.75,AU,1616169320
Aberfeldy,56.62,-3.8645,55.99,73,99,5.01,GB,1616169320
Moose,43.6558,-110.7183,35.6,86,20,4.61,US,1616169321
Monywa,22.1167,95.1333,83.66,11,66,3.29,MM,1616169322
Mamlyutka,54.9375,68.5394,28.27,82,100,13.85,KZ,1616169322
Dudinka,69.4058,86.1778,-28.3,97,15,9.22,RU,1616169323
Olmos,-5.9847,-79.7453,83.57,52,100,5.06,PE,1616169323
Puteyets,65.1716,57.091,6.48,94,96,8.1,RU,1616169324
Partenit,44.578,34.3446,44.01,56,82,7.87,UA,1616169324
Stornoway,58.2093,-6.3865,51.01,87,75,8.05,GB,1616169325
Bull,6.1992,-10.2829,89.6,66,20,12.66,LR,1616169325
Ilulissat,69.2167,-51.1,21.2,53,75,14.97,GL,1616169326
Bilibino,68.0546,166.4372,-20.29,68,85,1.03,RU,1616169116
Banjarmasin,-3.3244,114.591,75.2,100,75,4.61,ID,1616169327
Viedma,-40.8135,-62.9967,73.58,30,0,19.3,AR,1616169327
Maniitsoq,65.4167,-52.9,25.12,82,100,16.13,GL,1616169328
Maltahöhe,-24.8333,16.9833,85.46,22,92,6.53,NA,1616169328
Saint-Pierre,-21.3393,55.4781,78.8,83,90,11.5,RE,1616169329
Paita,-5.0892,-81.1144,84.2,54,0,18.41,PE,1616169329
Aksu,41.1231,80.2644,41.59,38,6,6.42,CN,1616169330
Darnah,32.767,22.6367,65.41,54,91,16.89,LY,1616169330
Mossamedes,-15.1961,12.1522,75.33,75,51,13.13,AO,1616169139
Sao,20.5113,76.2129,79.5,36,36,10.74,IN,1616169331
Pontes,-4.8333,-43.3667,82.4,78,75,6.91,BR,1616169332
El Puerto de Santa María,36.5939,-6.233,66.2,34,0,10.36,ES,1616169262
Sabang,5.8933,95.3214,83.91,69,82,9.66,ID,1616169333
Bilma,18.6853,12.9164,101.55,7,81,1.74,NE,1616169334
Port,-7.0349,29.7638,77.38,69,89,1.9,CD,1616169334
Sao,20.5113,76.2129,79.5,36,36,10.74,IN,1616169335
San,13.3034,-4.8956,102.25,7,25,4.47,ML,1616169273
Ponta,38.7333,-28.2667,62.6,82,75,16.11,PT,1616169335
Bambous,-20.2567,57.4061,78.8,83,20,5.75,MU,1616169336
Urucará,-2.5364,-57.76,85.91,63,100,2.46,BR,1616169336
Mogadishu,2.0371,45.3438,80.85,79,0,16.46,SO,1616169337
Tutóia,-2.7619,-42.2744,87.8,66,40,16.11,BR,1616169337
Grand,38.8755,-109.5012,46.4,46,1,10.36,US,1616169338
Monte,42.4687,9.3916,51.8,50,20,6.91,FR,1616169338
Philadelphia,39.9523,-75.1638,43.0,38,75,21.85,US,1616169339
Cidreira,-30.1811,-50.2056,75.25,64,67,9.55,BR,1616169340
Tonantins,-2.8731,-67.8022,91.17,52,54,3.31,BR,1616169340
Aklavik,68.2191,-135.0107,-7.6,71,75,9.22,CA,1616169341
Ukiah,39.1502,-123.2078,46.4,87,90,3.44,US,1616169303
Parkersburg,39.2667,-81.5615,41.0,35,1,13.8,US,1616169342
Itacaré,-14.2775,-38.9967,79.56,86,100,6.98,BR,1616169343
Kavieng,-2.5744,150.7967,82.4,76,1,11.21,PG,1616169343
Manado,1.487,124.8455,77.0,94,20,1.14,ID,1616169344
Malindi,-3.2175,40.1191,86.0,70,40,11.5,KE,1616169345
Kaitangata,-46.2817,169.8464,47.12,93,88,6.93,NZ,1616169177
Port,-7.0349,29.7638,77.38,69,89,1.9,CD,1616169334
Conakry,9.538,-13.6773,80.15,62,0,14.16,GN,1616169346
Mujiayingzi,42.1167,118.7833,34.38,84,100,6.26,CN,1616169346
George Town,5.4112,100.3354,82.0,61,20,3.44,MY,1616169347
Codrington,-38.2667,141.9667,58.03,93,0,7.54,AU,1616169347
Lagoa,39.05,-27.9833,59.23,80,41,17.4,PT,1616169215
Esperance,-33.8667,121.9,64.4,82,0,11.5,AU,1616169348
Santa,17.486,120.4348,79.03,82,99,4.32,PH,1616169349
Kushiro,42.975,144.3747,28.63,81,94,4.61,JP,1616169349
Krivosheino,57.3431,83.9261,24.6,90,100,11.61,RU,1616169350
Tessalit,20.1986,1.0114,90.72,6,0,11.1,ML,1616169350
Chapais,49.7834,-74.8492,10.4,56,1,9.22,CA,1616169351
Narasannapeta,18.4167,84.05,75.69,72,47,5.44,IN,1616169352
Kholtoson,50.2981,103.3097,13.69,96,100,1.88,RU,1616169352
Lodja,-3.4833,23.4333,83.93,64,95,0.96,CD,1616169353
Marabu,4.4148,114.0089,80.6,94,40,4.61,MY,1616169354
Vila,42.0304,-8.1588,51.01,72,98,14.0,PT,1616169297
Arrondissement de Saint-Malo,48.5,-1.8333,48.99,57,0,21.85,FR,1616169355
San,13.3034,-4.8956,102.25,7,25,4.47,ML,1616169344
Peleduy,59.6289,112.7406,20.07,95,100,7.67,RU,1616169356
Romny,50.751,33.4747,34.03,80,100,4.94,UA,1616169356
Kulhudhuffushi,6.6221,73.07,83.14,69,37,5.79,MV,1616169357
Kapchorwa,1.3965,34.4509,68.34,61,87,4.59,UG,1616169357
Merauke,-8.4667,140.3333,77.63,85,98,6.49,ID,1616169304
Iracoubo,5.4802,-53.2011,81.3,67,35,8.16,GF,1616169358
Flinders,-34.5833,150.8552,70.0,90,100,5.01,AU,1616169358
Fairbanks,64.8378,-147.7164,0.0,84,75,1.99,US,1616169359
Necochea,-38.5473,-58.7368,70.0,51,0,5.01,AR,1616169359
Poronaysk,49.2167,143.1167,20.97,76,100,5.61,RU,1616169360
Acará,-1.9608,-48.1967,79.05,94,91,3.65,BR,1616169360
Cururupu,-1.8283,-44.8683,82.02,85,50,3.96,BR,1616169361
Montanha,-18.1269,-40.3633,82.49,66,100,5.59,BR,1616169361
Amboasary,-25.0333,46.3833,82.4,74,20,21.85,MG,1616169362
Tomatlán,19.9333,-105.25,82.36,36,0,3.47,MX,1616169363
Miyako,39.6367,141.9525,36.55,78,65,3.24,JP,1616169363
Zhicheng,30.2956,111.5047,46.0,91,100,1.07,CN,1616169364
Makakilo,21.3524,-158.0865,69.8,68,20,6.91,US,1616169365
Shimsk,58.212,30.7127,23.43,76,82,6.85,RU,1616169365
Senneterre,48.3835,-77.2328,21.2,53,20,11.5,CA,1616169366
Talnakh,69.4865,88.3972,-24.02,93,45,9.46,RU,1616169366
Mount Abu,24.6,72.7,63.97,26,8,3.76,IN,1616169366
Tūkrah,32.5341,20.5791,66.96,53,97,18.68,LY,1616169367
Ahipara,-35.1667,173.1667,57.33,84,1,7.65,NZ,1616169368
Cherskiy,68.75,161.3,-32.03,100,10,1.25,RU,1616169368
Kavaratti,10.5669,72.642,83.44,72,2,9.64,IN,1616169369
Hasaki,35.7333,140.8333,46.4,87,20,5.75,JP,1616169369
Oranjestad,12.524,-70.027,82.4,61,20,18.41,AW,1616169175
Anloga,5.7947,0.8973,86.0,66,20,9.22,GH,1616169370
Grindavik,63.8424,-22.4338,46.4,87,75,26.46,IS,1616169371
Fort,52.6517,6.3861,46.99,58,45,4.0,NL,1616169198
Dandong,40.1292,124.3947,45.45,66,100,3.29,CN,1616169372
Eureka,40.8021,-124.1637,46.99,76,20,8.05,US,1616169372
Seoul,37.5683,126.9778,59.0,66,53,4.61,KR,1616169188
Gilbués,-9.8317,-45.3439,81.3,70,100,6.04,BR,1616169373
Airai,-8.9266,125.4092,59.94,90,74,1.86,TL,1616169373
Lowestoft,52.4752,1.7516,48.0,81,0,5.01,GB,1616169286
Madang,-5.2246,145.7966,76.66,88,98,4.05,PG,1616169374
Saposoa,-6.934,-76.7716,78.8,78,75,2.55,PE,1616169374
Roebourne,-20.7833,117.1333,78.87,59,0,20.15,AU,1616169375
Angleton,29.1694,-95.4319,60.01,54,1,9.22,US,1616169376
Esim,4.8699,-2.2405,83.79,66,99,9.89,GH,1616169376
Alice,27.7523,-98.0697,64.4,39,1,11.5,US,1616169377
Dunmore,41.4198,-75.6324,34.0,37,1,16.11,US,1616169377
Port,-7.0349,29.7638,77.38,69,89,1.9,CD,1616169229
Swan,18.2242,121.3791,73.31,98,99,1.57,PH,1616169378
Mentakab,3.4865,102.3516,75.43,83,21,1.68,MY,1616169379
Alappuzha,9.49,76.3264,82.11,77,48,2.64,IN,1616169379
Atasū,48.6814,71.6433,29.23,57,88,15.21,KZ,1616169380
Saint-Paul,-21.0096,55.2707,78.8,69,90,13.8,RE,1616169381
Baoro,5.6667,15.9667,87.67,43,60,5.32,CF,1616169381
Ergolding,48.5833,12.1667,36.0,93,40,4.61,DE,1616169382
Comodoro,-13.6631,-59.7858,77.36,75,100,2.68,BR,1616169383
Rāzampeta,14.1833,79.1667,75.74,57,0,3.67,IN,1616169383
Sungai Raya,0.7,108.9,78.35,86,59,5.64,ID,1616169384
Fortuna,40.5982,-124.1573,48.0,93,1,6.91,US,1616169280
Leningradskiy,69.3833,178.4167,-22.92,85,15,0.56,RU,1616169385
Evanston,42.0411,-87.6901,39.99,45,20,12.66,US,1616169261
Nanortalik,60.1432,-45.2371,30.24,79,100,15.66,GL,1616169385
Rome,43.2128,-75.4557,30.0,39,1,13.8,US,1616169189
Andenes,69.3143,16.1194,41.0,81,75,28.77,NO,1616169386
Lata,40.1629,-8.3327,61.0,47,0,18.41,PT,1616169386
California,38.3004,-76.5074,42.8,52,1,9.22,US,1616169209
Kamina,-8.7386,24.9906,72.59,87,100,2.13,CD,1616169387
Mayo,38.8876,-76.5119,44.01,42,1,18.41,US,1616169262
Sydney,-33.8679,151.2073,69.01,99,100,10.0,AU,1616169228
Dawson,31.7735,-84.4466,55.4,58,75,10.36,US,1616169388
Yeppoon,-23.1333,150.7333,75.2,83,40,6.91,AU,1616169389
Katsuura,35.1333,140.3,54.0,71,40,6.91,JP,1616169389
Launceston,-41.45,147.1667,53.01,87,10,8.05,AU,1616169390
Bud,39.447,-86.1758,42.01,53,97,15.68,US,1616169390
Tooele,40.5308,-112.2983,57.2,38,1,18.41,US,1616169391
Yanam,16.7333,82.2167,73.38,81,26,2.84,IN,1616169392
Melfi,40.9965,15.6514,48.2,80,90,10.36,IT,1616169392
Terrace,54.5163,-128.6035,33.8,100,90,2.3,CA,1616169393
Verāval,20.9,70.3667,74.66,84,0,11.7,IN,1616169393
Grand,38.8755,-109.5012,46.4,46,1,10.36,US,1616169338
Nhulunbuy,-12.2333,136.7667,77.0,94,90,3.44,AU,1616169394
Mingshui,36.7167,117.5,48.2,61,90,13.42,CN,1616169395
Olinda,-8.0089,-34.8553,84.2,58,40,12.66,BR,1616169395
Gusau,12.1628,6.6614,101.14,13,37,4.43,NG,1616169395
Port,-7.0349,29.7638,77.38,69,89,1.9,CD,1616169334
Bousso,10.4795,16.7117,100.35,22,15,11.48,TD,1616169396
Ndendé,-2.4008,11.3581,74.89,96,100,2.3,GA,1616169396
Petropavlovsk-Kamchatskiy,53.0452,158.6483,32.0,100,90,6.71,RU,1616169397
Bathsheba,13.2167,-59.5167,82.4,54,40,17.27,BB,1616169397
Ambon City,-3.6954,128.1814,77.0,94,20,3.44,ID,1616169219
Marsh,53.6512,-1.8078,48.99,88,100,3.0,GB,1616169398
Mahon,39.8885,4.2658,48.2,61,40,14.97,ES,1616169399
Dwārka,22.2394,68.9678,76.05,80,0,11.52,IN,1616169400
Harper,4.375,-7.7169,83.25,71,0,10.02,LR,1616169400
Bandarbeyla,9.4942,50.8122,78.96,72,37,13.91,SO,1616169401
